,acquisition_date,acquisitions
538,1971-06-23,6
539,1971-06-24,8
540,1971-06-25,14
541,1971-06-26,6
542,1971-06-27,7
543,1971-06-28,11
544,1971-06-29,4
545,1971-06-30,11
546,1971-07-01,6
547,1971-07-02,12
548,1971-07-03,6
549,1971-07-04,10
550,1971-07-05,11
551,1971-07-06,9
552,1971-07-07,7
553,1971-07-08,4
554,1971-07-09,9
555,1971-07-10,16
556,1971-07-11,12
557,1971-07-12,9
558,1971-07-13,7
559,1971-07-14,4
560,1971-07-15,8
561,1971-07-16,9
562,1971-07-17,12
563,1971-07-18,10
564,1971-07-19,8
565,1971-07-20,8
566,1971-07-21,4
567,1971-07-22,12
568,1971-07-23,9
569,1971-07-24,13
570,1971-07-25,12
571,1971-07-26,9
572,1971-07-27,9
573,1971-07-28,8
574,1971-07-29,10
575,1971-07-30,16
576,1971-07-31,7
577,1971-08-01,5
578,1971-08-02,12
579,1971-08-03,11
580,1971-08-04,11
581,1971-08-05,5
582,1971-08-06,8
583,1971-08-07,6
584,1971-08-08,13
585,1971-08-09,3
586,1971-08-10,19
587,1971-08-11,10
588,1971-08-12,5
589,1971-08-13,11
590,1971-08-14,11
591,1971-08-15,10
592,1971-08-16,7
593,1971-08-17,9
594,1971-08-18,8
595,1971-08-19,8
596,1971-08-20,6
597,1971-08-21,14
598,1971-08-22,10
599,1971-08-23,12
600,1971-08-24,9
601,1971-08-25,6
602,1971-08-26,7
603,1971-08-27,9
604,1971-08-28,4
605,1971-08-29,9
606,1971-08-30,6
607,1971-08-31,5
608,1971-09-01,10
609,1971-09-02,7
610,1971-09-03,8
611,1971-09-04,10
612,1971-09-05,11
613,1971-09-06,14
614,1971-09-07,12
615,1971-09-08,10
616,1971-09-09,9
617,1971-09-10,9
618,1971-09-11,9
619,1971-09-12,11
620,1971-09-13,7
621,1971-09-14,6
622,1971-09-15,8
623,1971-09-16,7
624,1971-09-17,6
625,1971-09-18,8
626,1971-09-19,13
627,1971-09-20,5
628,1971-09-21,12
629,1971-09-22,15
630,1971-09-23,4
631,1971-09-24,15
632,1971-09-25,8
633,1971-09-26,9
634,1971-09-27,12
635,1971-09-28,9
636,1971-09-29,12
637,1971-09-30,10
638,1971-10-01,15
639,1971-10-02,10
640,1971-10-03,7
641,1971-10-04,14
642,1971-10-05,8
643,1971-10-06,11
644,1971-10-07,11
645,1971-10-08,10
646,1971-10-09,14
647,1971-10-10,16
648,1971-10-11,10
649,1971-10-12,11
650,1971-10-13,6
651,1971-10-14,14
652,1971-10-15,9
653,1971-10-16,12
654,1971-10-17,9
655,1971-10-18,9
656,1971-10-19,7
657,1971-10-20,10
658,1971-10-21,2
659,1971-10-22,11
660,1971-10-23,5
661,1971-10-24,8
662,1971-10-25,9
663,1971-10-26,10
664,1971-10-27,9
665,1971-10-28,10
666,1971-10-29,6
667,1971-10-30,9
668,1971-10-31,11
669,1971-11-01,8
670,1971-11-02,10
671,1971-11-03,14
672,1971-11-04,11
673,1971-11-05,6
674,1971-11-06,12
675,1971-11-07,7
676,1971-11-08,8
677,1971-11-09,11
678,1971-11-10,9
679,1971-11-11,5
680,1971-11-12,7
681,1971-11-13,7
682,1971-11-14,8
683,1971-11-15,14
684,1971-11-16,11
685,1971-11-17,11
686,1971-11-18,7
687,1971-11-19,7
688,1971-11-20,15
689,1971-11-21,9
690,1971-11-22,12
691,1971-11-23,8
692,1971-11-24,14
693,1971-11-25,10
694,1971-11-26,9
695,1971-11-27,11
696,1971-11-28,12
697,1971-11-29,5
698,1971-11-30,11
699,1971-12-01,12
700,1971-12-02,7
701,1971-12-03,9
702,1971-12-04,11
703,1971-12-05,9
704,1971-12-06,8
705,1971-12-07,6
706,1971-12-08,7
707,1971-12-09,20
708,1971-12-10,8
709,1971-12-11,12
710,1971-12-12,4
711,1971-12-13,11
712,1971-12-14,7
713,1971-12-15,12
714,1971-12-16,10
715,1971-12-17,11
716,1971-12-18,13
717,1971-12-19,12
718,1971-12-20,6
719,1971-12-21,9
720,1971-12-22,10
721,1971-12-23,6
722,1971-12-24,10
723,1971-12-25,7
724,1971-12-26,7
725,1971-12-27,4
726,1971-12-28,8
727,1971-12-29,8
728,1971-12-30,5
729,1971-12-31,8
730,1972-01-01,12
731,1972-01-02,10
732,1972-01-03,7
733,1972-01-04,10
734,1972-01-05,9
735,1972-01-06,7
736,1972-01-07,6
737,1972-01-08,15
738,1972-01-09,7
739,1972-01-10,10
740,1972-01-11,12
741,1972-01-12,10
742,1972-01-13,9
743,1972-01-14,8
744,1972-01-15,9
745,1972-01-16,4
746,1972-01-17,12
747,1972-01-18,7
748,1972-01-19,14
749,1972-01-20,6
750,1972-01-21,12
751,1972-01-22,11
752,1972-01-23,13
753,1972-01-24,12
754,1972-01-25,11
755,1972-01-26,6
756,1972-01-27,10
757,1972-01-28,12
758,1972-01-29,8
759,1972-01-30,10
760,1972-01-31,10
761,1972-02-01,9
762,1972-02-02,7
763,1972-02-03,10
764,1972-02-04,5
765,1972-02-05,9
766,1972-02-06,10
767,1972-02-07,9
768,1972-02-08,11
769,1972-02-09,11
770,1972-02-10,9
771,1972-02-11,7
772,1972-02-12,10
773,1972-02-13,9
774,1972-02-14,15
775,1972-02-15,8
776,1972-02-16,8
777,1972-02-17,13
778,1972-02-18,4
779,1972-02-19,9
780,1972-02-20,4
781,1972-02-21,15
782,1972-02-22,9
783,1972-02-23,8
784,1972-02-24,10
785,1972-02-25,7
786,1972-02-26,9
787,1972-02-27,6
788,1972-02-28,6
789,1972-02-29,11
790,1972-03-01,6
791,1972-03-02,7
792,1972-03-03,9
793,1972-03-04,7
794,1972-03-05,15
795,1972-03-06,11
796,1972-03-07,7
797,1972-03-08,4
798,1972-03-09,9
799,1972-03-10,8
800,1972-03-11,7
801,1972-03-12,9
802,1972-03-13,7
803,1972-03-14,9
804,1972-03-15,9
805,1972-03-16,11
806,1972-03-17,7
807,1972-03-18,14
808,1972-03-19,13
809,1972-03-20,9
810,1972-03-21,7
811,1972-03-22,13
812,1972-03-23,4
813,1972-03-24,11
814,1972-03-25,7
815,1972-03-26,3
816,1972-03-27,9
817,1972-03-28,11
818,1972-03-29,3
819,1972-03-30,12
820,1972-03-31,11
821,1972-04-01,6
822,1972-04-02,4
823,1972-04-03,10
824,1972-04-04,11
825,1972-04-05,3
826,1972-04-06,12
827,1972-04-07,8
828,1972-04-08,12
829,1972-04-09,12
830,1972-04-10,13
831,1972-04-11,12
832,1972-04-12,9
833,1972-04-13,6
834,1972-04-14,12
835,1972-04-15,17
836,1972-04-16,4
837,1972-04-17,9
838,1972-04-18,12
839,1972-04-19,7
840,1972-04-20,9
841,1972-04-21,10
842,1972-04-22,8
843,1972-04-23,10
844,1972-04-24,7
845,1972-04-25,13
846,1972-04-26,6
847,1972-04-27,4
848,1972-04-28,6
849,1972-04-29,9
850,1972-04-30,11
851,1972-05-01,10
852,1972-05-02,10
853,1972-05-03,10
854,1972-05-04,11
855,1972-05-05,11
856,1972-05-06,2
857,1972-05-07,11
858,1972-05-08,10
859,1972-05-09,14
860,1972-05-10,9
861,1972-05-11,7
862,1972-05-12,11
863,1972-05-13,10
864,1972-05-14,13
865,1972-05-15,11
866,1972-05-16,10
867,1972-05-17,16
868,1972-05-18,11
869,1972-05-19,8
870,1972-05-20,4
871,1972-05-21,10
872,1972-05-22,6
873,1972-05-23,9
874,1972-05-24,4
875,1972-05-25,9
876,1972-05-26,9
877,1972-05-27,9
878,1972-05-28,9
879,1972-05-29,14
880,1972-05-30,6
881,1972-05-31,9
882,1972-06-01,9
883,1972-06-02,3
884,1972-06-03,6
885,1972-06-04,4
886,1972-06-05,6
887,1972-06-06,9
888,1972-06-07,7
889,1972-06-08,12
890,1972-06-09,14
891,1972-06-10,10
892,1972-06-11,12
893,1972-06-12,3
894,1972-06-13,14
895,1972-06-14,11
896,1972-06-15,9
897,1972-06-16,8
898,1972-06-17,13
899,1972-06-18,9
900,1972-06-19,3
901,1972-06-20,11
902,1972-06-21,13
903,1972-06-22,8
904,1972-06-23,15
905,1972-06-24,12
906,1972-06-25,11
907,1972-06-26,10
908,1972-06-27,11
909,1972-06-28,9
910,1972-06-29,12
911,1972-06-30,6
912,1972-07-01,12
913,1972-07-02,9
914,1972-07-03,6
915,1972-07-04,7
916,1972-07-05,5
917,1972-07-06,13
918,1972-07-07,8
919,1972-07-08,7
920,1972-07-09,13
921,1972-07-10,5
922,1972-07-11,7
923,1972-07-12,8
924,1972-07-13,8
925,1972-07-14,13
926,1972-07-15,12
927,1972-07-16,11
928,1972-07-17,6
929,1972-07-18,7
930,1972-07-19,8
931,1972-07-20,15
932,1972-07-21,6
933,1972-07-22,5
934,1972-07-23,9
935,1972-07-24,11
936,1972-07-25,7
937,1972-07-26,11
938,1972-07-27,5
939,1972-07-28,12
940,1972-07-29,11
941,1972-07-30,7
942,1972-07-31,5
943,1972-08-01,12
944,1972-08-02,6
945,1972-08-03,6
946,1972-08-04,12
947,1972-08-05,9
948,1972-08-06,9
949,1972-08-07,7
950,1972-08-08,10
951,1972-08-09,4
952,1972-08-10,10
953,1972-08-11,8
954,1972-08-12,4
955,1972-08-13,9
956,1972-08-14,19
957,1972-08-15,10
958,1972-08-16,16
959,1972-08-17,16
960,1972-08-18,8
961,1972-08-19,8
962,1972-08-20,5
963,1972-08-21,6
964,1972-08-22,10
965,1972-08-23,10
966,1972-08-24,22
967,1972-08-25,12
968,1972-08-26,7
969,1972-08-27,9
970,1972-08-28,10
971,1972-08-29,9
972,1972-08-30,11
973,1972-08-31,8
974,1972-09-01,9
975,1972-09-02,13
976,1972-09-03,12
977,1972-09-04,11
978,1972-09-05,12
979,1972-09-06,9
980,1972-09-07,9
981,1972-09-08,10
982,1972-09-09,10
983,1972-09-10,11
984,1972-09-11,12
985,1972-09-12,8
986,1972-09-13,10
987,1972-09-14,9
988,1972-09-15,11
989,1972-09-16,21
990,1972-09-17,14
991,1972-09-18,6
992,1972-09-19,10
993,1972-09-20,18
994,1972-09-21,12
995,1972-09-22,9
996,1972-09-23,7
997,1972-09-24,13
998,1972-09-25,12
999,1972-09-26,7
1000,1972-09-27,12
1001,1972-09-28,5
1002,1972-09-29,8
1003,1972-09-30,10
1004,1972-10-01,11
1005,1972-10-02,5
1006,1972-10-03,11
1007,1972-10-04,9
1008,1972-10-05,9
1009,1972-10-06,7
1010,1972-10-07,6
1011,1972-10-08,9
1012,1972-10-09,6
1013,1972-10-10,15
1014,1972-10-11,7
1015,1972-10-12,6
1016,1972-10-13,8
1017,1972-10-14,8
1018,1972-10-15,10
1019,1972-10-16,8
1020,1972-10-17,12
1021,1972-10-18,7
1022,1972-10-19,11
1023,1972-10-20,13
1024,1972-10-21,9
1025,1972-10-22,13
1026,1972-10-23,13
1027,1972-10-24,10
1028,1972-10-25,11
1029,1972-10-26,9
1030,1972-10-27,11
1031,1972-10-28,8
1032,1972-10-29,15
1033,1972-10-30,5
1034,1972-10-31,11
1035,1972-11-01,6
1036,1972-11-02,6
1037,1972-11-03,11
1038,1972-11-04,9
1039,1972-11-05,10
1040,1972-11-06,9
1041,1972-11-07,7
1042,1972-11-08,19
1043,1972-11-09,8
1044,1972-11-10,9
1045,1972-11-11,9
1046,1972-11-12,7
1047,1972-11-13,8
1048,1972-11-14,7
1049,1972-11-15,6
1050,1972-11-16,8
1051,1972-11-17,12
1052,1972-11-18,7
1053,1972-11-19,12
1054,1972-11-20,10
1055,1972-11-21,13
1056,1972-11-22,10
1057,1972-11-23,6
1058,1972-11-24,14
1059,1972-11-25,9
1060,1972-11-26,4
1061,1972-11-27,11
1062,1972-11-28,5
1063,1972-11-29,4
1064,1972-11-30,7
1065,1972-12-01,7
1066,1972-12-02,12
1067,1972-12-03,10
1068,1972-12-04,3
1069,1972-12-05,12
1070,1972-12-06,6
1071,1972-12-07,7
1072,1972-12-08,10
1073,1972-12-09,12
1074,1972-12-10,11
1075,1972-12-11,9
1076,1972-12-12,16
1077,1972-12-13,7
1078,1972-12-14,10
1079,1972-12-15,5
1080,1972-12-16,9
1081,1972-12-17,11
1082,1972-12-18,20
1083,1972-12-19,6
1084,1972-12-20,14
1085,1972-12-21,14
1086,1972-12-22,8
1087,1972-12-23,8
1088,1972-12-24,8
1089,1972-12-25,10
1090,1972-12-26,10
1091,1972-12-27,10
1092,1972-12-28,7
1093,1972-12-29,7
1094,1972-12-30,9
1095,1972-12-31,12
1096,1973-01-01,10
1097,1973-01-02,8
1098,1973-01-03,6
1099,1973-01-04,7
1100,1973-01-05,11
1101,1973-01-06,13
1102,1973-01-07,12
1103,1973-01-08,5
1104,1973-01-09,7
1105,1973-01-10,10
1106,1973-01-11,6
1107,1973-01-12,11
1108,1973-01-13,9
1109,1973-01-14,7
1110,1973-01-15,10
1111,1973-01-16,9
1112,1973-01-17,5
1113,1973-01-18,8
1114,1973-01-19,6
1115,1973-01-20,7
1116,1973-01-21,9
1117,1973-01-22,7
1118,1973-01-23,5
1119,1973-01-24,5
1120,1973-01-25,9
1121,1973-01-26,14
1122,1973-01-27,5
1123,1973-01-28,8
1124,1973-01-29,5
1125,1973-01-30,8
1126,1973-01-31,12
1127,1973-02-01,14
1128,1973-02-02,8
1129,1973-02-03,11
1130,1973-02-04,6
1131,1973-02-05,9
1132,1973-02-06,5
1133,1973-02-07,4
1134,1973-02-08,9
1135,1973-02-09,7
1136,1973-02-10,8
1137,1973-02-11,8
1138,1973-02-12,5
1139,1973-02-13,10
1140,1973-02-14,10
1141,1973-02-15,13
1142,1973-02-16,6
1143,1973-02-17,9
1144,1973-02-18,9
1145,1973-02-19,8
1146,1973-02-20,10
1147,1973-02-21,5
1148,1973-02-22,8
1149,1973-02-23,13
1150,1973-02-24,10
1151,1973-02-25,8
1152,1973-02-26,11
1153,1973-02-27,6
1154,1973-02-28,10
1155,1973-03-01,9
1156,1973-03-02,13
1157,1973-03-03,5
1158,1973-03-04,6
1159,1973-03-05,10
1160,1973-03-06,9
1161,1973-03-07,10
1162,1973-03-08,7
1163,1973-03-09,12
1164,1973-03-10,11
1165,1973-03-11,10
1166,1973-03-12,13
1167,1973-03-13,11
1168,1973-03-14,10
1169,1973-03-15,10
1170,1973-03-16,9
1171,1973-03-17,10
1172,1973-03-18,7
1173,1973-03-19,6
1174,1973-03-20,7
1175,1973-03-21,11
1176,1973-03-22,11
1177,1973-03-23,10
1178,1973-03-24,11
1179,1973-03-25,11
1180,1973-03-26,10
1181,1973-03-27,10
1182,1973-03-28,12
1183,1973-03-29,8
1184,1973-03-30,6
1185,1973-03-31,5
1186,1973-04-01,10
1187,1973-04-02,7
1188,1973-04-03,10
1189,1973-04-04,14
1190,1973-04-05,7
1191,1973-04-06,8
1192,1973-04-07,4
1193,1973-04-08,12
1194,1973-04-09,12
1195,1973-04-10,9
1196,1973-04-11,8
1197,1973-04-12,7
1198,1973-04-13,10
1199,1973-04-14,9
1200,1973-04-15,13
1201,1973-04-16,8
1202,1973-04-17,11
1203,1973-04-18,11
1204,1973-04-19,13
1205,1973-04-20,11
1206,1973-04-21,7
1207,1973-04-22,12
1208,1973-04-23,10
1209,1973-04-24,8
1210,1973-04-25,9
1211,1973-04-26,5
1212,1973-04-27,7
1213,1973-04-28,9
1214,1973-04-29,9
1215,1973-04-30,11
1216,1973-05-01,11
1217,1973-05-02,8
1218,1973-05-03,8
1219,1973-05-04,8
1220,1973-05-05,12
1221,1973-05-06,11
1222,1973-05-07,13
1223,1973-05-08,9
1224,1973-05-09,8
1225,1973-05-10,8
1226,1973-05-11,7
1227,1973-05-12,8
1228,1973-05-13,6
1229,1973-05-14,13
1230,1973-05-15,9
1231,1973-05-16,6
1232,1973-05-17,9
1233,1973-05-18,7
1234,1973-05-19,10
1235,1973-05-20,6
1236,1973-05-21,10
1237,1973-05-22,6
1238,1973-05-23,7
1239,1973-05-24,8
1240,1973-05-25,17
1241,1973-05-26,8
1242,1973-05-27,7
1243,1973-05-28,15
1244,1973-05-29,11
1245,1973-05-30,7
1246,1973-05-31,9
